text,emotion
I am enjoying the quiet moment,calm
I cannot stop worrying,anxiety
I am very frustrated right now,anger
I feel peaceful and relaxed,calm
I feel balanced and stable,calm
I feel anxious about my work,anxiety
I feel scared about the future,fear
That was a big surprise,surprise
I am overthinking too much,anxiety
Nothing seems to make me happy,sadness
This result surprised me,surprise
This really makes me mad,anger
I cannot stop worrying,anxiety
My heart feels warm today,love
I appreciate the people in my life,love
I feel deep affection for someone,love
I feel emotionally drained,sadness
I feel balanced and stable,calm
My heart feels warm today,love
I am overthinking too much,anxiety
I feel stressed about everything,anxiety
I enjoyed my day a lot,joy
Nothing seems to make me happy,sadness
I am shocked by the news,surprise
I am very frustrated right now,anger
I feel anxious about my work,anxiety
Everything feels calm today,calm
I feel scared about the future,fear
Something amazing happened today,joy
I feel very lonely today,sadness
I love spending time with my friends,love
Something unexpected happened today,surprise
I am excited about my future,joy
Wow I cannot believe this happened,surprise
I feel deep affection for someone,love
I am upset and annoyed,anger
I did not expect this to happen,surprise
Today was a wonderful day,joy
I am shocked by the news,surprise
I love spending time with my friends,love
I feel irritated about what happened,anger
This really makes me mad,anger
I enjoyed my day a lot,joy
That was a big surprise,surprise
I miss someone very much,sadness
I enjoyed my day a lot,joy
I feel balanced and stable,calm
I feel mentally calm,calm
I am worried about tomorrow,fear
This result surprised me,surprise
I appreciate the people in my life,love
Something unexpected happened today,surprise
I enjoyed my day a lot,joy
That was a big surprise,surprise
I feel anxious about my work,anxiety
I feel scared about the future,fear
I feel positive and energetic,joy
Today was a wonderful day,joy
I miss someone very much,sadness
I feel peaceful and relaxed,calm
I feel empty and sad,sadness
I feel very lonely today,sadness
Something is making me nervous,fear
I enjoyed my day a lot,joy
I feel mentally calm,calm
I feel anxious about my work,anxiety
This result surprised me,surprise
I am feeling very relaxed,calm
I am feeling very relaxed,calm
I feel irritated about what happened,anger
I feel mentally calm,calm
That was a big surprise,surprise
I feel scared about the future,fear
Something amazing happened today,joy
I miss someone very much,sadness
I feel mentally calm,calm
I feel very lonely today,sadness
I feel anxious about my work,anxiety
I feel scared about the future,fear
I enjoyed my day a lot,joy
I feel anxious about my work,anxiety
I hate when things go wrong,anger
My heart feels warm today,love
I am upset and annoyed,anger
I am overthinking too much,anxiety
I am excited about my future,joy
I love spending time with my friends,love
I am excited about my future,joy
I feel uneasy right now,fear
I feel mentally calm,calm
Wow I cannot believe this happened,surprise
I am overthinking too much,anxiety
I did not expect this to happen,surprise
I feel stressed about everything,anxiety
This really makes me mad,anger
I am overthinking too much,anxiety
I feel empty and sad,sadness
I feel scared about the future,fear
I am excited about my future,joy
Something unexpected happened today,surprise
Everything feels calm today,calm
This really makes me mad,anger
I appreciate the people in my life,love
I appreciate the people in my life,love
I love spending time with my friends,love
I miss someone very much,sadness
I love spending time with my friends,love
Something amazing happened today,joy
I am worried about tomorrow,fear
I feel irritated about what happened,anger
I feel empty and sad,sadness
I feel uneasy right now,fear
I feel uneasy right now,fear
I am worried about tomorrow,fear
I feel irritated about what happened,anger
I feel positive and energetic,joy
I am shocked by the news,surprise
I feel grateful for my family,love
I cannot stop worrying,anxiety
I feel empty and sad,sadness
I feel empty and sad,sadness
Everything feels calm today,calm
I feel fearful about this situation,fear
I appreciate the people in my life,love
I am excited about my future,joy
That was a big surprise,surprise
Everything feels calm today,calm
I feel scared about the future,fear
I am excited about my future,joy
Today was a wonderful day,joy
I am feeling very relaxed,calm
I appreciate the people in my life,love
I feel peaceful and relaxed,calm
I feel deep affection for someone,love
Wow I cannot believe this happened,surprise
Wow I cannot believe this happened,surprise
I feel emotionally drained,sadness
I feel grateful for my family,love
Nothing seems to make me happy,sadness
I feel anxious about my work,anxiety
I feel empty and sad,sadness
I am shocked by the news,surprise
My mind feels restless,anxiety
Nothing seems to make me happy,sadness
I am overthinking too much,anxiety
I feel very lonely today,sadness
My heart feels warm today,love
I miss someone very much,sadness
I am upset and annoyed,anger
This result surprised me,surprise
I feel uneasy right now,fear
I feel peaceful and relaxed,calm
Something unexpected happened today,surprise
Nothing seems to make me happy,sadness
I feel anxious about my work,anxiety
I enjoyed my day a lot,joy
Today was a wonderful day,joy
I feel mentally calm,calm
I am very frustrated right now,anger
I feel anxious about my work,anxiety
Something amazing happened today,joy
This situation makes me angry,anger
I feel positive and energetic,joy
I feel very lonely today,sadness
I feel very lonely today,sadness
I appreciate the people in my life,love
I did not expect this to happen,surprise
I feel irritated about what happened,anger
I am afraid things may go wrong,fear
I feel anxious about my work,anxiety
I feel anxious about my work,anxiety
I feel loved and supported,love
I feel deep affection for someone,love
I feel mentally calm,calm
Today was a wonderful day,joy
I am upset and annoyed,anger
I feel really happy today,joy
Something amazing happened today,joy
I feel anxious about my work,anxiety
I am worried about tomorrow,fear
I love spending time with my friends,love
I am excited about my future,joy
I did not expect this to happen,surprise
Wow I cannot believe this happened,surprise
This really makes me mad,anger
I feel very lonely today,sadness
I feel empty and sad,sadness
I feel emotionally drained,sadness
I feel anxious about my work,anxiety
Today was a bad day for me,sadness
I enjoyed my day a lot,joy
I feel scared about the future,fear
I did not expect this to happen,surprise
I did not expect this to happen,surprise
I feel peaceful and relaxed,calm
I hate when things go wrong,anger
I did not expect this to happen,surprise
I hate when things go wrong,anger
I feel anxious about my work,anxiety
I feel peaceful and relaxed,calm
I am shocked by the news,surprise
I feel stressed about everything,anxiety
Today was a bad day for me,sadness
This result surprised me,surprise
I am afraid things may go wrong,fear
I feel really happy today,joy
I feel empty and sad,sadness
This result surprised me,surprise
I did not expect this to happen,surprise
I feel fearful about this situation,fear
I enjoyed my day a lot,joy
I feel empty and sad,sadness
I feel mentally calm,calm
My heart feels warm today,love
I feel scared about the future,fear
I am upset and annoyed,anger
I feel anxious about my work,anxiety
I feel balanced and stable,calm
I enjoyed my day a lot,joy
This really makes me mad,anger
I feel uneasy right now,fear
Nothing seems to make me happy,sadness
Something unexpected happened today,surprise
I feel mentally calm,calm
I feel uneasy right now,fear
I feel scared about the future,fear
I am enjoying the quiet moment,calm
I am overthinking too much,anxiety
Nothing seems to make me happy,sadness
I feel nervous about the results,anxiety
I am excited about my future,joy
I feel fearful about this situation,fear
I cannot stop worrying,anxiety
I enjoyed my day a lot,joy
I feel fearful about this situation,fear
I am excited about my future,joy
